"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 09 16:58:33 MSK 2024","Fri Aug 09 16:58:37 MSK 2024","3382","","Получение заказа","","order.GetOrderTest","getOrderWithTokenTest","Запрос заказов с авторизацией","Запрос заказа с авторизацией"
"passed","Fri Aug 09 16:58:52 MSK 2024","Fri Aug 09 16:58:53 MSK 2024","1510","","Создание пользователя","","user.CreateUserTest","createWithoutPasswordUserTest","Создание пользователя с одним из отсутствующих параметров 5","Создание пользователя без пароля"
"passed","Fri Aug 09 16:58:30 MSK 2024","Fri Aug 09 16:58:32 MSK 2024","1597","","Создание заказа","","order.CreateOrderTest","createOrderWithoutIngredientTest","Попытка создать заказ без ингредиента","Создание заказа без ингредиентов"
"passed","Fri Aug 09 16:59:08 MSK 2024","Fri Aug 09 16:59:09 MSK 2024","1291","","Редактирование пользователя","","user.EditUserTest","editUserWithoutTokenTest","Редактирование пользователя без авторизации 2","Редактирование пользователя без авторизации"
"passed","Fri Aug 09 16:59:18 MSK 2024","Fri Aug 09 16:59:19 MSK 2024","1820","","Редактирование пользователя","","user.EditUserTest","editUserWithTokenTest","Редактирование пользователя 3","Редактирование пользователя с учетом авторизации"
"passed","Fri Aug 09 16:59:13 MSK 2024","Fri Aug 09 16:59:14 MSK 2024","1530","","Редактирование пользователя","","user.EditUserTest","editUserWithoutTokenTest","Редактирование пользователя без авторизации 5","Редактирование пользователя без авторизации"
"passed","Fri Aug 09 16:58:27 MSK 2024","Fri Aug 09 16:58:30 MSK 2024","2839","","Создание заказа","","order.CreateOrderTest","createOrderTest","Успешное создание заказа","Создание заказа по ингредиентам"
"passed","Fri Aug 09 16:59:14 MSK 2024","Fri Aug 09 16:59:16 MSK 2024","1615","","Редактирование пользователя","","user.EditUserTest","editUserWithTokenTest","Редактирование пользователя 1","Редактирование пользователя с учетом авторизации"
"passed","Fri Aug 09 16:59:01 MSK 2024","Fri Aug 09 16:59:02 MSK 2024","1486","","Редактирование пользователя","","user.EditUserTest","editUserWithExpTokenTest","Редактирование пользователя с истекшим токеном 2","Редактирование пользователя без авторизации"
"passed","Fri Aug 09 16:58:39 MSK 2024","Fri Aug 09 16:58:41 MSK 2024","1617","","Авторизация пользователя","","user.AuthUserTest","userLoginWithoutEmailTest","Не успешная авторизация","Авторизация пользователем без логина"
"passed","Fri Aug 09 16:58:57 MSK 2024","Fri Aug 09 16:58:59 MSK 2024","1609","","Создание пользователя","","user.CreateUserTest","createDopplerUserTest","Попытка создать существующего пользователя","Попытка создать существующего пользователя"
"passed","Fri Aug 09 16:58:49 MSK 2024","Fri Aug 09 16:58:50 MSK 2024","1433","","Создание пользователя","","user.CreateUserTest","createWithoutPasswordUserTest","Создание пользователя с одним из отсутствующих параметров 3","Создание пользователя без пароля"
"failed","Fri Aug 09 16:59:19 MSK 2024","Fri Aug 09 16:59:21 MSK 2024","1496","","Редактирование пользователя","","user.EditUserTest","editUserWithTokenTest","Редактирование пользователя 4","Редактирование пользователя с учетом авторизации"
"passed","Fri Aug 09 16:58:24 MSK 2024","Fri Aug 09 16:58:27 MSK 2024","3316","","Создание заказа","","order.CreateOrderTest","createOrderWithoutTokenTest","Создание заказа без авторизации","Попытка создать заказ не авторизованным пользователем"
"passed","Fri Aug 09 16:58:56 MSK 2024","Fri Aug 09 16:58:57 MSK 2024","1147","","Создание пользователя","","user.CreateUserTest","createUniqUserTest","Успешное создание пользователя","Создание пользователя и проверка ответа метода"
"passed","Fri Aug 09 16:58:32 MSK 2024","Fri Aug 09 16:58:33 MSK 2024","1611","","Создание заказа","","order.CreateOrderTest","createOrderWithWrongIngredientTest","Попытка создать заказ с существующим ингредиентом","Создание заказа с существующим ингредиентом"
"passed","Fri Aug 09 16:58:44 MSK 2024","Fri Aug 09 16:58:45 MSK 2024","1615","","Авторизация пользователя","","user.AuthUserTest","userLoginWithoutPasswordTest","Не успешная авторизация","Авторизация пользователем без пароля"
"passed","Fri Aug 09 16:58:53 MSK 2024","Fri Aug 09 16:58:55 MSK 2024","1631","","Создание пользователя","","user.CreateUserTest","createWithoutPasswordUserTest","Создание пользователя с одним из отсутствующих параметров 6","Создание пользователя без пароля"
"passed","Fri Aug 09 16:58:45 MSK 2024","Fri Aug 09 16:58:47 MSK 2024","1606","","Создание пользователя","","user.CreateUserTest","createWithoutPasswordUserTest","Создание пользователя с одним из отсутствующих параметров 1","Создание пользователя без пароля"
"passed","Fri Aug 09 16:59:16 MSK 2024","Fri Aug 09 16:59:18 MSK 2024","1877","","Редактирование пользователя","","user.EditUserTest","editUserWithTokenTest","Редактирование пользователя 2","Редактирование пользователя с учетом авторизации"
"passed","Fri Aug 09 16:58:41 MSK 2024","Fri Aug 09 16:58:42 MSK 2024","1581","","Авторизация пользователя","","user.AuthUserTest","userCanNotLoginTest","Не успешная авторизация","Авторизация пользователем не зарегистрированным"
"passed","Fri Aug 09 16:59:05 MSK 2024","Fri Aug 09 16:59:07 MSK 2024","1539","","Редактирование пользователя","","user.EditUserTest","editUserWithExpTokenTest","Редактирование пользователя с истекшим токеном 5","Редактирование пользователя без авторизации"
"passed","Fri Aug 09 16:58:42 MSK 2024","Fri Aug 09 16:58:44 MSK 2024","1603","","Авторизация пользователя","","user.AuthUserTest","userCanLoginTest","Успешная авторизация","Авторизация существующим пользователем"
"failed","Fri Aug 09 16:59:21 MSK 2024","Fri Aug 09 16:59:22 MSK 2024","1477","","Редактирование пользователя","","user.EditUserTest","editUserWithTokenTest","Редактирование пользователя 5","Редактирование пользователя с учетом авторизации"
"passed","Fri Aug 09 16:59:09 MSK 2024","Fri Aug 09 16:59:11 MSK 2024","1572","","Редактирование пользователя","","user.EditUserTest","editUserWithoutTokenTest","Редактирование пользователя без авторизации 3","Редактирование пользователя без авторизации"
"passed","Fri Aug 09 16:58:37 MSK 2024","Fri Aug 09 16:58:39 MSK 2024","2169","","Получение заказа","","order.GetOrderTest","getOrderWithoutTokenTest","Запрос заказов без авторизации","Запрос заказа без авторизации"
"passed","Fri Aug 09 16:58:47 MSK 2024","Fri Aug 09 16:58:49 MSK 2024","1578","","Создание пользователя","","user.CreateUserTest","createWithoutPasswordUserTest","Создание пользователя с одним из отсутствующих параметров 2","Создание пользователя без пароля"
"passed","Fri Aug 09 16:59:11 MSK 2024","Fri Aug 09 16:59:13 MSK 2024","1544","","Редактирование пользователя","","user.EditUserTest","editUserWithoutTokenTest","Редактирование пользователя без авторизации 4","Редактирование пользователя без авторизации"
"passed","Fri Aug 09 16:58:55 MSK 2024","Fri Aug 09 16:58:56 MSK 2024","1602","","Создание пользователя","","user.CreateUserTest","createWithoutPasswordUserTest","Создание пользователя с одним из отсутствующих параметров 7","Создание пользователя без пароля"
"passed","Fri Aug 09 16:58:50 MSK 2024","Fri Aug 09 16:58:52 MSK 2024","1527","","Создание пользователя","","user.CreateUserTest","createWithoutPasswordUserTest","Создание пользователя с одним из отсутствующих параметров 4","Создание пользователя без пароля"
"passed","Fri Aug 09 16:58:59 MSK 2024","Fri Aug 09 16:59:01 MSK 2024","1572","","Редактирование пользователя","","user.EditUserTest","editUserWithExpTokenTest","Редактирование пользователя с истекшим токеном 1","Редактирование пользователя без авторизации"
"passed","Fri Aug 09 16:59:02 MSK 2024","Fri Aug 09 16:59:04 MSK 2024","1389","","Редактирование пользователя","","user.EditUserTest","editUserWithExpTokenTest","Редактирование пользователя с истекшим токеном 3","Редактирование пользователя без авторизации"
"passed","Fri Aug 09 16:59:04 MSK 2024","Fri Aug 09 16:59:05 MSK 2024","1478","","Редактирование пользователя","","user.EditUserTest","editUserWithExpTokenTest","Редактирование пользователя с истекшим токеном 4","Редактирование пользователя без авторизации"
"passed","Fri Aug 09 16:59:07 MSK 2024","Fri Aug 09 16:59:08 MSK 2024","1536","","Редактирование пользователя","","user.EditUserTest","editUserWithoutTokenTest","Редактирование пользователя без авторизации 1","Редактирование пользователя без авторизации"
